功能端,页面名称,功能描述
管理端（电脑端）,登录页面,登录管理端系统
管理端（电脑端）,用户管理页面,添加新的后勤管理人员、编辑现有管理人员信息、删除管理人员账号、设置管理人员权限（如超级管理员、普通管理员）、重置管理人员密码
管理端（电脑端）,题目管理页面,导入题目（支持Excel、CSV格式）、下载题目导入模板、批量导入题目、导入数据校验和错误提示、手动添加新题目（支持单选题、多选题、判断题）、编辑现有题目内容、删除题目、题目分类管理（添加、编辑、删除分类）、题目难度设置、题目搜索和筛选、AI自动生成考题（根据管理员指令）
管理端（电脑端）,考试模板管理页面,创建考试模板（如安全知识、操作规范等）、编辑和删除考试模板、为模板设置题目分类和难度、查看模板下的考试列表、模板权限设置、上传考试模板、AI生成考试模板
管理端（电脑端）,考试管理页面,创建新考试/练习、设置考试名称、开始时间、结束时间、设置考试题目数量和分值、设置及格分数、从题库中选择题目组成试卷、编辑和删除考试、查看考试详情、生成考题二维码
管理端（电脑端）,统计分析页面,查看员工答题情况概览、查看平均分、通过率统计、查看错题分布情况、查看部门答题情况对比、查看个人答题详情、数据可视化展示（图表）
管理端（电脑端）,数据导出页面,导出统计数据为Excel格式、导出员工答题记录、导出题目库
小程序端（员工端）,登录页面,通过工号/账号登录、密码找回功能、记住登录状态
小程序端（员工端）,考试列表页面,查看可参与的考试/练习列表、查看考试详情（名称、时间、分值等）、筛选和搜索考试
小程序端（员工端）,在线答题页面,进入考试并开始答题、显示题目和选项、记录用户答案、支持题目导航（上一题、下一题）、支持标记题目、考试时间倒计时、提交答案
小程序端（员工端）,答题结果页面,显示本次考试得分、显示是否及格、查看正确/错误题目、查看题目解析、重新答题功能
小程序端（员工端）,历史记录页面,查看历史答题记录、查看历史考试成绩、查看历史错题、按时间筛选历史记录
